year,location,event,athlete,country,medal,timeFormat,altitude
2010,"Vancouver, Canada",1500m Short Track Men,J. R. Celski,USA,BRONZE,02:18.053,4
2010,"Vancouver, Canada",5000m Short Track Relay Men,Charles Hamelin,CAN,GOLD,06:44.224,4
2010,"Vancouver, Canada",5000m Short Track Relay Men,François Hamelin,CAN,GOLD,06:44.224,4
2010,"Vancouver, Canada",5000m Short Track Relay Men,Olivier Jean,CAN,GOLD,06:44.224,4
2010,"Vancouver, Canada",5000m Short Track Relay Men,François-Louis Tremblay,CAN,GOLD,06:44.224,4
2010,"Vancouver, Canada",5000m Short Track Relay Men,Kwak Yoon-Gy,KOR,SILVER,06:44.446,4
2010,"Vancouver, Canada",5000m Short Track Relay Men,Lee Ho-Suk,KOR,SILVER,06:44.446,4
2010,"Vancouver, Canada",5000m Short Track Relay Men,Lee Jung-Su,KOR,SILVER,06:44.446,4
2010,"Vancouver, Canada",5000m Short Track Relay Men,Sung Si-Bak,KOR,SILVER,06:44.446,4
2010,"Vancouver, Canada",5000m Short Track Relay Men,J.R. Celski,USA,BRONZE,06:44.498,4
2010,"Vancouver, Canada",5000m Short Track Relay Men,Travis Jayner,USA,BRONZE,06:44.498,4
2010,"Vancouver, Canada",5000m Short Track Relay Men,Jordan Malone,USA,BRONZE,06:44.498,4
2010,"Vancouver, Canada",5000m Short Track Relay Men,Apolo Anton Ohno,USA,BRONZE,06:44.498,4
2010,"Vancouver, Canada",500m Short Track Women,Wang Meng,CHN,GOLD,00:43.048,4
2010,"Vancouver, Canada",500m Short Track Women,Marianne St-Gelais,CAN,SILVER,00:43.707,4
2010,"Vancouver, Canada",500m Short Track Women,Arianna Fontana,ITA,BRONZE,00:43.804,4
2010,"Vancouver, Canada",1000m Short Track Women,Wang Meng,CHN,GOLD,01:29.213,4
2010,"Vancouver, Canada",1000m Short Track Women,Katherine Reutter,USA,SILVER,01:29.324,4
2010,"Vancouver, Canada",1000m Short Track Women,Park Seung-Hi,KOR,BRONZE,01:29.379,4
2010,"Vancouver, Canada",1500m Short Track Women,Zhou Yang,CHN,GOLD,02:16.993,4
2010,"Vancouver, Canada",1500m Short Track Women,Lee Eun-Byul,KOR,SILVER,02:17.849,4
2010,"Vancouver, Canada",1500m Short Track Women,Park Seung-Hi,KOR,BRONZE,02:17.927,4
2010,"Vancouver, Canada",3000m Short Track Relay Women,Sun Linlin,CHN,GOLD,04:06.610,4
2010,"Vancouver, Canada",3000m Short Track Relay Women,Wang Meng,CHN,GOLD,04:06.610,4
2010,"Vancouver, Canada",3000m Short Track Relay Women,Zhang Hui,CHN,GOLD,04:06.610,4
2010,"Vancouver, Canada",3000m Short Track Relay Women,Zhou Yang,CHN,GOLD,04:06.610,4
2010,"Vancouver, Canada",3000m Short Track Relay Women,Jessica Gregg,CAN,SILVER,04:09.137,4
2010,"Vancouver, Canada",3000m Short Track Relay Women,Kalyna Roberge,CAN,SILVER,04:09.137,4
2010,"Vancouver, Canada",3000m Short Track Relay Women,Marianne St-Gelais,CAN,SILVER,04:09.137,4
2010,"Vancouver, Canada",3000m Short Track Relay Women,Tania Vicent,CAN,SILVER,04:09.137,4
2010,"Vancouver, Canada",3000m Short Track Relay Women,Allison Baver,USA,BRONZE,04:14.081,4
2010,"Vancouver, Canada",3000m Short Track Relay Women,Alyson Dudek,USA,BRONZE,04:14.081,4
2010,"Vancouver, Canada",3000m Short Track Relay Women,Lana Gehring,USA,BRONZE,04:14.081,4
2010,"Vancouver, Canada",3000m Short Track Relay Women,Katherine Reutter,USA,BRONZE,04:14.081,4
2014,"Sochi, Russia",500m Men,Michel Mulder,NED,GOLD,00:69.312,27
2014,"Sochi, Russia",500m Men,Jan Smeekens,NED,SILVER,00:69.324,27
2014,"Sochi, Russia",500m Men,Ronald Mulder,NED,BRONZE,00:69.46,27
2014,"Sochi, Russia",1000m Men,Stefan Groothuis,NED,GOLD,01:08.39,27
2014,"Sochi, Russia",1000m Men,Denny Morrison,CAN,SILVER,01:08.43,27
2014,"Sochi, Russia",1000m Men,Michel Mulder,NED,BRONZE,01:08.74,27
2014,"Sochi, Russia",1500m Men,Zbigniew Bródka,POL,GOLD,01:45.006,27
2014,"Sochi, Russia",1500m Men,Koen Verweij,NED,SILVER,01:45.009,27
2014,"Sochi, Russia",1500m Men,Denny Morrison,CAN,BRONZE,01:45.22,27
2014,"Sochi, Russia",5000m Men,Sven Kramer,NED,GOLD,06:10.76,27
2014,"Sochi, Russia",5000m Men,Jan Blokhuijsen,NED,SILVER,06:15.71,27
2014,"Sochi, Russia",5000m Men,Jorrit Bergsma,NED,BRONZE,06:16.66,27
2014,"Sochi, Russia",10000m Men,Jorrit Bergsma,NED,GOLD,12:44.45,27
2014,"Sochi, Russia",10000m Men,Sven Kramer,NED,SILVER,12:49.02,27
2014,"Sochi, Russia",10000m Men,Bob de Jong,NED,BRONZE,13:07.19,27
2014,"Sochi, Russia",Team Pursuit Men,Jan Blokhuijsen,NED,GOLD,03:37.71,27
2014,"Sochi, Russia",Team Pursuit Men,Sven Kramer,NED,GOLD,03:37.71,27
2014,"Sochi, Russia",Team Pursuit Men,Koen Verweij,NED,GOLD,03:37.71,27
2014,"Sochi, Russia",Team Pursuit Men,Joo Hyong-jun,KOR,SILVER,03:40.85,27
2014,"Sochi, Russia",Team Pursuit Men,Kim Cheol-min,KOR,SILVER,03:40.85,27
2014,"Sochi, Russia",Team Pursuit Men,Lee Seung-hoon,POL,SILVER,03:40.85,27
2014,"Sochi, Russia",Team Pursuit Men,Zbigniew Bródka,POL,BRONZE,03:41.94,27
2014,"Sochi, Russia",Team Pursuit Men,Konrad Niedźwiedzki,POL,BRONZE,03:41.94,27
2014,"Sochi, Russia",Team Pursuit Men,Jan Szymański,POL,BRONZE,03:41.94,27
2014,"Sochi, Russia",500m Women,Lee Sang-Hwa,KOR,GOLD,00:74.7,27
2014,"Sochi, Russia",500m Women,Olga Fatkulina,RUS,SILVER,00:75.06,27
2014,"Sochi, Russia",500m Women,Margot Boer,NED,BRONZE,00:75.48,27
2014,"Sochi, Russia",1000m Women,Zhang Hong,CHN,GOLD,01:14.02,27
2014,"Sochi, Russia",1000m Women,Ireen Wüst,NED,SILVER,01:14.69,27
2014,"Sochi, Russia",1000m Women,Margot Boer,NED,BRONZE,01:14.90,27
2014,"Sochi, Russia",1500m Women,Jorien ter Mors,NED,GOLD,01:53.51,27
2014,"Sochi, Russia",1500m Women,Ireen Wüst,NED,SILVER,01:54.09,27
2014,"Sochi, Russia",1500m Women,Lotte van Beek,NED,BRONZE,01:54.54,27
2014,"Sochi, Russia",3000m Women,Ireen Wüst,NED,GOLD,04:00.34,27
2014,"Sochi, Russia",3000m Women,Martina Sáblíková,CZE,SILVER,04:01.95,27
2014,"Sochi, Russia",3000m Women,Olga Graf,RUS,BRONZE,04:03.47,27
2014,"Sochi, Russia",5000m Women,Martina Sáblíková,CZE,GOLD,06:51.54,27
2014,"Sochi, Russia",5000m Women,Ireen Wüst,NED,SILVER,06:54.28,27
2014,"Sochi, Russia",5000m Women,Carien Kleibeuker,NED,BRONZE,06:55.66,27
2014,"Sochi, Russia",Team Pursuit Women,Lotte van Beek,NED,GOLD,02:58.05,27
2014,"Sochi, Russia",Team Pursuit Women,Marrit Leenstra,NED,GOLD,02:58.05,27
2014,"Sochi, Russia",Team Pursuit Women,Jorien ter Mors,NED,GOLD,02:58.05,27
2014,"Sochi, Russia",Team Pursuit Women,Ireen Wüst,NED,GOLD,02:58.05,27
2014,"Sochi, Russia",Team Pursuit Women,Katarzyna Bachleda-Curuś,POL,SILVER,03:05.55,27
2014,"Sochi, Russia",Team Pursuit Women,Natalia Czerwonka,POL,SILVER,03:05.55,27
2014,"Sochi, Russia",Team Pursuit Women,Luiza Złotkowska,POL,SILVER,03:05.55,27
2014,"Sochi, Russia",Team Pursuit Women,Katarzyna Woźniak,POL,SILVER,03:05.55,27
2014,"Sochi, Russia",Team Pursuit Women,Olga Graf,RUS,BRONZE,02:59.73,27
2014,"Sochi, Russia",Team Pursuit Women,Yekaterina Lobysheva,RUS,BRONZE,02:59.73,27
2014,"Sochi, Russia",Team Pursuit Women,Yuliya Skokova,RUS,BRONZE,02:59.73,27
2014,"Sochi, Russia",Team Pursuit Women,Yekaterina Shikhova,RUS,BRONZE,02:59.73,27
2014,"Sochi, Russia",500m Short Track Men,Viktor An,RUS,GOLD,00:41.063,27
2014,"Sochi, Russia",500m Short Track Men,Wu Dajing,CHN,SILVER,00:40.846,27
2014,"Sochi, Russia",500m Short Track Men,Charle Cournoyer,CAN,BRONZE,00:40.945,27
2014,"Sochi, Russia",1000m Short Track Men,Viktor An,RUS,GOLD,01:24.102,27
2014,"Sochi, Russia",1000m Short Track Men,Vladimir Grigoryev,RUS,SILVER,01:24.868,27
2014,"Sochi, Russia",1000m Short Track Men,Sjinkie Knegt,NED,BRONZE,01:25.611,27
2014,"Sochi, Russia",1500m Short Track Men,Charles Hamelin,CAN,GOLD,02:14.480,27
2014,"Sochi, Russia",1500m Short Track Men,Han Tianyu,CHN,SILVER,02:15.055,27
2014,"Sochi, Russia",1500m Short Track Men,Viktor An,RUS,BRONZE,02:15.062,27
2014,"Sochi, Russia",5000m Short Track Relay Men,Viktor Ahn,RUS,GOLD,06:42.100,27
2014,"Sochi, Russia",5000m Short Track Relay Men,Semion Elistratov,RUS,GOLD,06:42.100,27
2014,"Sochi, Russia",5000m Short Track Relay Men,Vladimir Grigorev,RUS,GOLD,06:42.100,27
2014,"Sochi, Russia",5000m Short Track Relay Men,Ruslan Zakharov,RUS,GOLD,06:42.100,27
2014,"Sochi, Russia",5000m Short Track Relay Men,Eddy Alvarez,USA,SILVER,06:42.371,27
2014,"Sochi, Russia",5000m Short Track Relay Men,J. R. Celski,USA,SILVER,06:42.371,27
2014,"Sochi, Russia",5000m Short Track Relay Men,Christopher Creveling,USA,SILVER,06:42.371,27
2014,"Sochi, Russia",5000m Short Track Relay Men,Jordan Malone,USA,SILVER,06:42.371,27
2014,"Sochi, Russia",5000m Short Track Relay Men,Chen Dequan,CHN,BRONZE,06:42.341,27
2014,"Sochi, Russia",5000m Short Track Relay Men,Han Tianyu,CHN,BRONZE,06:42.341,27
2014,"Sochi, Russia",5000m Short Track Relay Men,Shi Jingnan,CHN,BRONZE,06:42.341,27
2014,"Sochi, Russia",5000m Short Track Relay Men,Wu Dajing,CHN,BRONZE,06:42.341,27
2014,"Sochi, Russia",500m Short Track Women,Li Jianrou,CHN,GOLD,00:43.486,27
2014,"Sochi, Russia",500m Short Track Women,Arianna Fontana,ITA,SILVER,00:43.405,27
2014,"Sochi, Russia",500m Short Track Women,Park Seung-Hui,KOR,BRONZE,00:43.392,27
2014,"Sochi, Russia",1000m Short Track Women,Park Seung-Hui,KOR,GOLD,01:30.182,27
2014,"Sochi, Russia",1000m Short Track Women,Fan Kexin,CHN,SILVER,01:29.380,27
2014,"Sochi, Russia",1000m Short Track Women,Shim Seok-Hui,KOR,BRONZE,01:29.356,27
2014,"Sochi, Russia",1500m Short Track Women,Zhou Yang,CHN,GOLD,02:18.825,27
2014,"Sochi, Russia",1500m Short Track Women,Shim Seok-Hui,KOR,SILVER,02:18.966,27
2014,"Sochi, Russia",1500m Short Track Women,Arianna Fontana,ITA,BRONZE,02:19.336,27
2014,"Sochi, Russia",3000m Short Track Relay Women,Shim Suk-hee,KOR,GOLD,04:09.498,27
2014,"Sochi, Russia",3000m Short Track Relay Women,Park Seung-hi,KOR,GOLD,04:09.498,27
2014,"Sochi, Russia",3000m Short Track Relay Women,Cho Ha-ri,KOR,GOLD,04:09.498,27
2014,"Sochi, Russia",3000m Short Track Relay Women,Kim A-lang,KOR,GOLD,04:09.498,27
2014,"Sochi, Russia",3000m Short Track Relay Women,Kong Sang-jeong,KOR,GOLD,04:09.498,27
2014,"Sochi, Russia",3000m Short Track Relay Women,Marie-Ève Drolet,CAN,SILVER,04:10.641,27
2014,"Sochi, Russia",3000m Short Track Relay Women,Jessica Hewitt,CAN,SILVER,04:10.641,27
2014,"Sochi, Russia",3000m Short Track Relay Women,Valérie Maltais,CAN,SILVER,04:10.641,27
2014,"Sochi, Russia",3000m Short Track Relay Women,Marianne St-Gelais,CAN,SILVER,04:10.641,27
2014,"Sochi, Russia",3000m Short Track Relay Women,Arianna Fontana,ITA,BRONZE,04:14.014,27
2014,"Sochi, Russia",3000m Short Track Relay Women,Lucia Peretti,ITA,BRONZE,04:14.014,27
2014,"Sochi, Russia",3000m Short Track Relay Women,Martina Valcepina,ITA,BRONZE,04:14.014,27
2014,"Sochi, Russia",3000m Short Track Relay Women,Elena Viviani,ITA,BRONZE,04:14.014,27
2018,"Pyeongchang, South Korea",500m Men,Håvard Holmefjord Lorentzen,NOR,GOLD,00:34.41,26
2018,"Pyeongchang, South Korea",500m Men,Cha Min-kyu,KOR,SILVER,00:34.42,26
2018,"Pyeongchang, South Korea",500m Men,Gao Tingyu,CHN,BRONZE,00:34.65,26
2018,"Pyeongchang, South Korea",1000m Men,Kjeld Nuis,NED,GOLD,01:07.95,26
2018,"Pyeongchang, South Korea",1000m Men,Håvard Holmefjord Lorentzen,NOR,SILVER,01:07.99,26
2018,"Pyeongchang, South Korea",1000m Men,Kim Tae-yun,KOR,BRONZE,01:08.22,26
2018,"Pyeongchang, South Korea",1500m Men,Kjeld Nuis,NED,GOLD,01:44.01,26
2018,"Pyeongchang, South Korea",1500m Men,Patrick Roest,NED,SILVER,01:44.86,26
2018,"Pyeongchang, South Korea",1500m Men,Kim Min-seok,KOR,BRONZE,01:44.93,26
2018,"Pyeongchang, South Korea",5000m Men,Sven Kramer,NED,GOLD,06:09.76,26
2018,"Pyeongchang, South Korea",5000m Men,Ted-Jan Bloemen,CAN,SILVER,06:11.616,26
2018,"Pyeongchang, South Korea",5000m Men,Sverre Lunde Pedersen,NOR,BRONZE,06:11.618,26
2018,"Pyeongchang, South Korea",10000m Men,Ted-Jan Bloemen,CAN,GOLD,12:39.77,26
2018,"Pyeongchang, South Korea",10000m Men,Jorrit Bergsma,NED,SILVER,12:41.98,26
2018,"Pyeongchang, South Korea",10000m Men,Nicola Tumolero,ITA,BRONZE,12:54.32,26
2018,"Pyeongchang, South Korea",Team Pursuit Men,Håvard Bøkko,NOR,GOLD,03:37.32,26
2018,"Pyeongchang, South Korea",Team Pursuit Men,Simen Spieler Nilsen,NOR,GOLD,03:37.32,26
2018,"Pyeongchang, South Korea",Team Pursuit Men,Sverre Lunde Pedersen,NOR,GOLD,03:37.32,26
2018,"Pyeongchang, South Korea",Team Pursuit Men,Sindre Henriksen,NOR,GOLD,03:37.32,26
2018,"Pyeongchang, South Korea",Team Pursuit Men,Lee Seung-hoon,KOR,SILVER,03:38.52,26
2018,"Pyeongchang, South Korea",Team Pursuit Men,Chung Jae-won,KOR,SILVER,03:38.52,26
2018,"Pyeongchang, South Korea",Team Pursuit Men,Kim Min-seok,KOR,SILVER,03:38.52,26
2018,"Pyeongchang, South Korea",Team Pursuit Men,Patrick Roest,NED,BRONZE,03:38.40,26
2018,"Pyeongchang, South Korea",Team Pursuit Men,Jan Blokhuijsen,NED,BRONZE,03:38.40,26
2018,"Pyeongchang, South Korea",Team Pursuit Men,Sven Kramer,NED,BRONZE,03:38.40,26
2018,"Pyeongchang, South Korea",Team Pursuit Men,Koen Verweij,NED,BRONZE,03:38.40,26
2018,"Pyeongchang, South Korea",500m Women,Nao Kodaira,JPN,GOLD,00:36.94,26
2018,"Pyeongchang, South Korea",500m Women,Lee Sang-hwa,KOR,SILVER,00:37.33,26
2018,"Pyeongchang, South Korea",500m Women,Karolína Erbanová,CZE,BRONZE,00:37.34,26
2018,"Pyeongchang, South Korea",1000m Women,Jorien ter Mors,NED,GOLD,01:13.56,26
2018,"Pyeongchang, South Korea",1000m Women,Nao Kodaira,JPN,SILVER,01:13.82,26
2018,"Pyeongchang, South Korea",1000m Women,Miho Takagi,JPN,BRONZE,01:13.98,26
2018,"Pyeongchang, South Korea",1500m Women,Ireen Wüst,NED,GOLD,01:54.35,26
2018,"Pyeongchang, South Korea",1500m Women,Miho Takagi,JPN,SILVER,01:54.55,26
2018,"Pyeongchang, South Korea",1500m Women,Marrit Leenstra,NED,BRONZE,01:55.26,26
2018,"Pyeongchang, South Korea",3000m Women,Carlijn Achtereekte,NED,GOLD,03:59.21,26
2018,"Pyeongchang, South Korea",3000m Women,Ireen Wüst,NED,SILVER,03:59.29,26
2018,"Pyeongchang, South Korea",3000m Women,Antoinette de Jong,NED,BRONZE,04:00.02,26
2018,"Pyeongchang, South Korea",5000m Women,Esmee Visser,NED,GOLD,06:50.23,26
2018,"Pyeongchang, South Korea",5000m Women,Martina Sáblíková,CZE,SILVER,06:51.85,26
2018,"Pyeongchang, South Korea",5000m Women,Natalya Voronina,OAR,BRONZE,06:53.98,26
2018,"Pyeongchang, South Korea",Team Pursuit Women,Miho Takagi,JPN,GOLD,02:53.89,26
2018,"Pyeongchang, South Korea",Team Pursuit Women,Ayano Sato,JPN,GOLD,02:53.89,26
2018,"Pyeongchang, South Korea",Team Pursuit Women,Nana Takagi,JPN,GOLD,02:53.89,26
2018,"Pyeongchang, South Korea",Team Pursuit Women,Ayaka Kikuchi,JPN,GOLD,02:53.89,26
2018,"Pyeongchang, South Korea",Team Pursuit Women,Marrit Leenstra,NED,SILVER,02:55.48,26
2018,"Pyeongchang, South Korea",Team Pursuit Women,Ireen Wüst,NED,SILVER,02:55.48,26
2018,"Pyeongchang, South Korea",Team Pursuit Women,Antoinette de Jong,NED,SILVER,02:55.48,26
2018,"Pyeongchang, South Korea",Team Pursuit Women,Lotte van Beek,NED,SILVER,02:55.48,26
2018,"Pyeongchang, South Korea",Team Pursuit Women,Heather Bergsma,USA,BRONZE,02:59.27,26
2018,"Pyeongchang, South Korea",Team Pursuit Women,Brittany Bowe,USA,BRONZE,02:59.27,26
2018,"Pyeongchang, South Korea",Team Pursuit Women,Mia Manganello,USA,BRONZE,02:59.27,26
2018,"Pyeongchang, South Korea",Team Pursuit Women,Carlijn Schoutens,USA,BRONZE,02:59.27,26
2018,"Pyeongchang, South Korea",500m Short Track Men,Wu Dajing,CHN,GOLD,00:39.584,26
2018,"Pyeongchang, South Korea",500m Short Track Men,Hwang Dae-heon,KOR,SILVER,00:39.854,26
2018,"Pyeongchang, South Korea",500m Short Track Men,Lim Hyo-jun,KOR,BRONZE,00:39.919,26
2018,"Pyeongchang, South Korea",1000m Short Track Men,Samuel Girard,CAN,GOLD,01:24.650,26
2018,"Pyeongchang, South Korea",1000m Short Track Men,John-Henry Krueger,USA,SILVER,01:24.864,26
2018,"Pyeongchang, South Korea",1000m Short Track Men,Seo Yi-ra,KOR,BRONZE,01:31.619,26
2018,"Pyeongchang, South Korea",1500m Short Track Men,Lim Hyo-jun,KOR,GOLD,02:10.485,26
2018,"Pyeongchang, South Korea",1500m Short Track Men,Sjinkie Knegt,NED,SILVER,02:10.555,26
2018,"Pyeongchang, South Korea",1500m Short Track Men,Semion Elistratov,OAR,BRONZE,02:10.687,26
2018,"Pyeongchang, South Korea",5000m Short Track Relay Men,Shaoang Liu,HUN,GOLD,06:31.971,26
2018,"Pyeongchang, South Korea",5000m Short Track Relay Men,Sándor Liu Shaolin,HUN,GOLD,06:31.971,26
2018,"Pyeongchang, South Korea",5000m Short Track Relay Men,Viktor Knoch,HUN,GOLD,06:31.971,26
2018,"Pyeongchang, South Korea",5000m Short Track Relay Men,Csaba Burján,HUN,GOLD,06:31.971,26
2018,"Pyeongchang, South Korea",5000m Short Track Relay Men,Wu Dajing,CHN,SILVER,06:32.035,26
2018,"Pyeongchang, South Korea",5000m Short Track Relay Men,Han Tianyu,CHN,SILVER,06:32.035,26
2018,"Pyeongchang, South Korea",5000m Short Track Relay Men,Chen Dequan,CHN,SILVER,06:32.035,26
2018,"Pyeongchang, South Korea",5000m Short Track Relay Men,Xu Hongzhi,CHN,SILVER,06:32.035,26
2018,"Pyeongchang, South Korea",5000m Short Track Relay Men,Ren Ziwei,CHN,SILVER,06:32.035,26
2018,"Pyeongchang, South Korea",5000m Short Track Relay Men,Samuel Girard,CAN,BRONZE,06:32.282,26
2018,"Pyeongchang, South Korea",5000m Short Track Relay Men,Charles Hamelin,CAN,BRONZE,06:32.282,26
2018,"Pyeongchang, South Korea",5000m Short Track Relay Men,Charle Cournoyer,CAN,BRONZE,06:32.282,26
2018,"Pyeongchang, South Korea",5000m Short Track Relay Men,Pascal Dion,CAN,BRONZE,06:32.282,26
2018,"Pyeongchang, South Korea",500m Short Track Women,Arianna Fontana,ITA,GOLD,00:42.569,26
2018,"Pyeongchang, South Korea",500m Short Track Women,Yara van Kerkhof,NED,SILVER,00:43.256,26
2018,"Pyeongchang, South Korea",500m Short Track Women,Kim Boutin,CAN,BRONZE,00:43.881,26
2018,"Pyeongchang, South Korea",1000m Short Track Women,Suzanne Schulting,NED,GOLD,01:29.778,26
2018,"Pyeongchang, South Korea",1000m Short Track Women,Kim Boutin,CAN,SILVER,01:29.956,26
2018,"Pyeongchang, South Korea",1000m Short Track Women,Arianna Fontana,ITA,BRONZE,01:30.656,26
2018,"Pyeongchang, South Korea",1500m Short Track Women,Choi Min-jeong,KOR,GOLD,02:24.948,26
2018,"Pyeongchang, South Korea",1500m Short Track Women,Choi Min-jeong,KOR,SILVER,02:24.948,26
2018,"Pyeongchang, South Korea",1500m Short Track Women,Kim Boutin,CAN,BRONZE,02:25.834,26
2018,"Pyeongchang, South Korea",3000m Short Track Relay Women,Shim Suk-hee,KOR,GOLD,04:07.361,26
2018,"Pyeongchang, South Korea",3000m Short Track Relay Women,Choi Min-jeong,KOR,GOLD,04:07.361,26
2018,"Pyeongchang, South Korea",3000m Short Track Relay Women,Kim Ye-jin,KOR,GOLD,04:07.361,26
2018,"Pyeongchang, South Korea",3000m Short Track Relay Women,Kim A-lang,KOR,GOLD,04:07.361,26
2018,"Pyeongchang, South Korea",3000m Short Track Relay Women,Lee Yu-bin,KOR,GOLD,04:07.361,26
2018,"Pyeongchang, South Korea",3000m Short Track Relay Women,Arianna Fontana,ITA,SILVER,04:15.901,26
2018,"Pyeongchang, South Korea",3000m Short Track Relay Women,Lucia Peretti,ITA,SILVER,04:15.901,26
2018,"Pyeongchang, South Korea",3000m Short Track Relay Women,Cecilia Maffei,ITA,SILVER,04:15.901,26
2018,"Pyeongchang, South Korea",3000m Short Track Relay Women,Martina Valcepina,ITA,SILVER,04:15.901,26
2018,"Pyeongchang, South Korea",3000m Short Track Relay Women,Suzanne Schulting,NED,BRONZE,04:05.977,26
2018,"Pyeongchang, South Korea",3000m Short Track Relay Women,Yara van Kerkhof,NED,BRONZE,04:05.977,26
2018,"Pyeongchang, South Korea",3000m Short Track Relay Women,Lara van Ruijven,NED,BRONZE,04:05.977,26
2018,"Pyeongchang, South Korea",3000m Short Track Relay Women,Jorien ter Mors,NED,BRONZE,04:05.977,26
